127.0.0.1, 2021-08-11 11:44:13, GET, /welcome, HTTP/1.1, 200, 0.008975
127.0.0.1, 2021-08-11 11:44:13, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:44:49, GET, /welcome, HTTP/1.1, 200, 0.007979
127.0.0.1, 2021-08-11 11:44:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:46:03, GET, /welcome, HTTP/1.1, 200, 0.007009
127.0.0.1, 2021-08-11 11:46:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 11:46:43, GET, /welcome, HTTP/1.1, 200, 0.008006
127.0.0.1, 2021-08-11 11:46:43, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:53:29, GET, /welcome, HTTP/1.1, 200, 0.008963
127.0.0.1, 2021-08-11 11:53:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:53:42, GET, /welcome, HTTP/1.1, 200, 0.007977
127.0.0.1, 2021-08-11 11:53:42, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:32, GET, /welcome, HTTP/1.1, 200, 0.007004
127.0.0.1, 2021-08-11 11:55:32, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome, HTTP/1.1, 200, 0.008000
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome, HTTP/1.1, 200, 0.008007
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome, HTTP/1.1, 200, 0.008008
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome, HTTP/1.1, 200, 0.010001
127.0.0.1, 2021-08-11 11:55:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:36, GET, /welcome, HTTP/1.1, 200, 0.009000
127.0.0.1, 2021-08-11 11:55:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:36, GET, /welcome, HTTP/1.1, 200, 0.007983
127.0.0.1, 2021-08-11 11:55:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:55:36, GET, /welcome, HTTP/1.1, 200, 0.008003
127.0.0.1, 2021-08-11 11:55:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:37, GET, /welcome, HTTP/1.1, 200, 0.008010
127.0.0.1, 2021-08-11 11:55:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:37, GET, /welcome, HTTP/1.1, 200, 0.007009
127.0.0.1, 2021-08-11 11:55:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:55:46, GET, /welcome, HTTP/1.1, 200, 0.007948
127.0.0.1, 2021-08-11 11:55:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000996
127.0.0.1, 2021-08-11 11:55:46, GET, /welcome, HTTP/1.1, 200, 0.008007
127.0.0.1, 2021-08-11 11:55:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:46, GET, /welcome, HTTP/1.1, 200, 0.006981
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome, HTTP/1.1, 200, 0.008002
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000965
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome, HTTP/1.1, 200, 0.007981
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome, HTTP/1.1, 200, 0.008007
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome, HTTP/1.1, 200, 0.010005
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000994
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome, HTTP/1.1, 200, 0.016982
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:55:47, GET, /welcome, HTTP/1.1, 200, 0.007951
127.0.0.1, 2021-08-11 11:55:48, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:57:19, GET, /welcome, HTTP/1.1, 200, 0.006983
127.0.0.1, 2021-08-11 11:57:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 11:57:42, GET, /welcome, HTTP/1.1, 200, 0.006983
127.0.0.1, 2021-08-11 11:57:42, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:57:42, GET, /welcome, HTTP/1.1, 200, 0.007995
127.0.0.1, 2021-08-11 11:57:42, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000996
127.0.0.1, 2021-08-11 11:57:42, GET, /welcome, HTTP/1.1, 200, 0.008004
127.0.0.1, 2021-08-11 11:57:42, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome, HTTP/1.1, 200, 0.008006
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome, HTTP/1.1, 200, 0.008003
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome, HTTP/1.1, 200, 0.007009
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome, HTTP/1.1, 200, 0.007978
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome, HTTP/1.1, 200, 0.006981
127.0.0.1, 2021-08-11 11:58:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:58:10, GET, /welcome, HTTP/1.1, 200, 0.008975
127.0.0.1, 2021-08-11 11:58:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:18, GET, /welcome, HTTP/1.1, 200, 0.008007
127.0.0.1, 2021-08-11 11:58:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:22, GET, /welcome, HTTP/1.1, 200, 0.008005
127.0.0.1, 2021-08-11 11:58:22, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:34, GET, /welcome, HTTP/1.1, 200, 0.007009
127.0.0.1, 2021-08-11 11:58:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:39, GET, /welcome, HTTP/1.1, 200, 0.008005
127.0.0.1, 2021-08-11 11:58:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:45, GET, /welcome, HTTP/1.1, 200, 0.007008
127.0.0.1, 2021-08-11 11:58:45, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:58:53, GET, /welcome, HTTP/1.1, 200, 0.008974
127.0.0.1, 2021-08-11 11:58:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000985
127.0.0.1, 2021-08-11 11:58:56, GET, /welcome, HTTP/1.1, 200, 0.008005
127.0.0.1, 2021-08-11 11:58:56, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000986
127.0.0.1, 2021-08-11 11:59:02, GET, /welcome, HTTP/1.1, 200, 0.006996
127.0.0.1, 2021-08-11 11:59:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:59:09, GET, /welcome, HTTP/1.1, 200, 0.008006
127.0.0.1, 2021-08-11 11:59:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001025
127.0.0.1, 2021-08-11 11:59:14, GET, /welcome, HTTP/1.1, 200, 0.007980
127.0.0.1, 2021-08-11 11:59:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:59:19, GET, /welcome, HTTP/1.1, 200, 0.009974
127.0.0.1, 2021-08-11 11:59:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:59:23, GET, /welcome, HTTP/1.1, 200, 0.007009
127.0.0.1, 2021-08-11 11:59:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:59:28, GET, /welcome, HTTP/1.1, 200, 0.008007
